XLC,^IXIC,^TNX,^VIX,date
76.17533111572266,14141.48046875,1.4839999675750732,17.889999389648438,2021-06-21
76.82937622070312,14253.26953125,1.472000002861023,16.65999984741211,2021-06-22
76.75242614746094,14271.73046875,1.4869999885559082,16.31999969482422,2021-06-23
77.47378540039062,14369.7099609375,1.4869999885559082,15.970000267028809,2021-06-24
77.5699691772461,14360.3896484375,1.5360000133514404,15.619999885559082,2021-06-25
78.4451904296875,14500.509765625,1.4780000448226929,15.760000228881836,2021-06-28
78.02200317382812,14528.330078125,1.4800000190734863,16.020000457763672,2021-06-29
77.87775421142578,14503.9501953125,1.4429999589920044,15.829999923706055,2021-06-30
78.45484161376953,14522.3798828125,1.4800000190734863,15.479999542236328,2021-07-01
79.0030517578125,14639.330078125,1.430999994277954,15.069999694824219,2021-07-02
