date,headline,neg,neu,pos,compound
2025-06-10,"Roblox Stock Continues Meteoric Rise, Soars Over 165% in a Year - Daily Chhattisgarh News",0.0,1.0,0.0,0.0
2025-06-05,"Roblox (RBLX) Price Target Increased by BofA, Growth Expected to Surpass Expectations | RBLX Stock News - GuruFocus",0.0,0.749,0.251,0.5719
2025-06-23,Roblox stock price target maintained at $125 by Oppenheimer - Investing.com Nigeria,0.0,1.0,0.0,0.0
2025-06-09,Jim Cramer on Roblox (RBLX): “I Think It’s Terrific” - Insider Monkey,0.0,1.0,0.0,0.0
2025-06-03,Bullish on Roblox Corp. - The Globe and Mail,0.0,1.0,0.0,0.0
2025-06-12,"Roblox (RBLX) Share Price Jumps, Continuing Spectacular Yearly Rally - Daily Chhattisgarh News",0.0,0.833,0.167,0.296
2025-06-09,Paramount Global's Naveen Chopra joins Roblox as finance head - MarketScreener,0.0,1.0,0.0,0.0
2025-06-16,"Roblox Stock Skyrockets Nearly 3%, Continuing a Phenomenal 182% Annual Bull Run - Daily Chhattisgarh News",0.0,1.0,0.0,0.0
2025-06-18,Oppenheimer Bullish on Roblox as Stock Eyes Multiyear Highs - Wall Street Pit,0.0,1.0,0.0,0.0
2025-06-23,Roblox stock hits 52-week high at 103.62 USD By Investing.com - Investing.com UK,0.0,1.0,0.0,0.0
2025-06-18,Roblox Stock Price Makes New High as Target Raised to $125 - AskTraders.com,0.0,1.0,0.0,0.0
2025-06-10,Kalkine : Roblox Earnings Per Share Reflect Platform’s Interactive Growth Dynamics - Kalkine Media,0.0,0.566,0.434,0.7096
2025-06-05,BofA Securities raises Roblox stock price target to $103 from $86 - Investing.com Canada,0.0,0.845,0.155,0.296
2025-06-14,Roblox’s SWOT analysis: gaming giant’s stock poised for AI-driven growth - Investing.com UK,0.0,0.685,0.315,0.5574
2025-06-14,Roblox’s (RBLX) Outperform Rating Reaffirmed at Wedbush - Defense World,0.0,0.842,0.158,0.128
2025-06-19,Roblox (NYSE:RBLX) Given “Outperform” Rating at Oppenheimer - Defense World,0.0,0.842,0.158,0.128
2025-06-20,"Dynamic Advisor Solutions LLC Has $267,000 Stake in Roblox Corporation (NYSE:RBLX) - Defense World",0.0,0.633,0.367,0.5859
