date,ccu
2020-11-12,543492.0
2020-11-13,4473203.0
2020-11-14,7888655.0
2020-11-15,8029984.0
2020-11-16,5036085.0
2020-11-17,3733414.0
2020-11-18,3300826.0
2020-11-19,3585620.0
2020-11-20,2934110.0
2020-11-21,4329655.0
2020-11-22,4524179.0
2020-11-23,2933881.0
2020-11-24,2882412.0
2020-11-25,3180037.0
2020-11-26,3233698.0
2020-11-27,3441893.0
2020-11-28,4807818.0
2020-11-29,4864536.0
2020-11-30,2975294.0
2020-12-01,2780635.0
2020-12-02,2984890.0
2020-12-03,2827181.0
2020-12-04,2942287.0
2020-12-05,4668847.0
2020-12-06,4693918.0
2020-12-07,2987928.0
2020-12-08,2861453.0
2020-12-09,2823817.0
2020-12-10,2896241.0
2020-12-11,3081539.0
2020-12-12,4564298.0
2020-12-13,4747252.0
2020-12-14,3004740.0
2020-12-15,2961115.0
2020-12-16,3515666.0
2020-12-17,3368909.0
2020-12-18,3441868.0
2020-12-19,4718808.0
2020-12-20,4688516.0
2020-12-21,3943523.0
2020-12-22,3881583.0
2020-12-23,4048565.0
2020-12-24,3898494.0
2020-12-25,3568435.0
2020-12-26,3944666.0
2020-12-27,4219326.0
2020-12-28,3965481.0
2020-12-29,4172494.0
2020-12-30,4291398.0
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,4517941.0
2021-01-04,3923377.0
2021-01-05,3782475.0
2021-01-06,3774659.0
2021-01-07,3658489.0
2021-01-08,3707933.0
2021-01-09,5009346.0
2021-01-10,4943297.0
2021-01-11,3969529.0
2021-01-12,4022041.0
2021-01-13,4087161.0
2021-01-14,4058638.0
2021-01-15,4453235.0
2021-01-16,5107549.0
2021-01-17,5062894.0
2021-01-18,4960787.0
2021-01-19,4226386.0
2021-01-20,4270337.0
2021-01-21,4216035.0
2021-01-22,4587446.0
2021-01-23,5358439.0
2021-01-24,5255528.0
2021-01-25,4299803.0
2021-01-26,4350597.0
2021-01-27,4301236.0
2021-01-28,4279377.0
2021-01-29,4729515.0
2021-01-30,5425364.0
2021-01-31,5222777.0
2021-02-01,4498206.0
2021-02-02,4989941.0
2021-02-03,4507011.0
2021-02-04,4300702.0
2021-02-05,4640962.0
2021-02-06,5491898.0
2021-02-07,5405762.0
2021-02-08,4277354.0
2021-02-09,4092843.0
2021-02-10,4202310.0
2021-02-11,4339338.0
2021-02-12,4806149.0
2021-02-13,5678668.0
2021-02-14,5449950.0
2021-02-15,5274509.0
2021-02-16,4821108.0
2021-02-17,4682997.0
2021-02-18,4907116.0
2021-02-19,4973741.0
2021-02-20,5484017.0
2021-02-21,5324573.0
2021-02-22,4327195.0
2021-02-23,4143175.0
2021-02-24,4194921.0
2021-02-25,4243161.0
2021-02-26,4619161.0
2021-02-27,5526521.0
2021-02-28,5342838.0
2021-03-01,4094762.0
2021-03-02,6804291.0
2021-03-03,4141276.0
2021-03-04,4266472.0
2021-03-05,5288499.0
2021-03-06,8138350.0
2021-03-07,7214434.0
2021-03-08,4205415.0
2021-03-09,4068408.0
2021-03-10,4215580.0
2021-03-11,4145981.0
2021-03-12,6077969.0
2021-03-13,5331632.0
2021-03-14,5263683.0
2021-03-15,4414378.0
2021-03-16,4307087.0
2021-03-17,5369695.0
2021-03-18,7506444.0
2021-03-19,5137835.0
2021-03-20,5612092.0
2021-03-21,4943691.0
2021-03-22,4032505.0
2021-03-23,4025194.0
2021-03-24,4170508.0
2021-03-25,4078981.0
2021-03-26,4514818.0
2021-03-27,4950507.0
2021-03-28,5055378.0
2021-03-29,4191553.0
2021-03-30,4130305.0
2021-03-31,4269463.0
2021-04-01,4503399.0
2021-04-02,5024727.0
2021-04-03,4865950.0
2021-04-04,4563621.0
2021-04-05,4592809.0
2021-04-06,4425365.0
2021-04-07,4383019.0
2021-04-08,4320071.0
2021-04-09,4638039.0
2021-04-10,5394089.0
2021-04-11,5194331.0
2021-04-12,4013098.0
2021-04-13,3971215.0
2021-04-14,4087836.0
2021-04-15,4132985.0
2021-04-16,5276331.0
2021-04-17,5290162.0
2021-04-18,5146657.0
2021-04-19,4114947.0
2021-04-20,4036601.0
2021-04-21,4223481.0
2021-04-22,4030545.0
2021-04-23,4328770.0
2021-04-24,5097917.0
2021-04-25,5037300.0
2021-04-26,3939892.0
2021-04-27,3867164.0
2021-04-28,4046184.0
2021-04-29,4286126.0
2021-04-30,4296581.0
2021-05-01,4889824.0
2021-05-02,4945496.0
2021-05-03,4025105.0
2021-05-04,4010531.0
2021-05-05,4118759.0
2021-05-06,4032896.0
2021-05-07,4355386.0
2021-05-08,4935979.0
2021-05-09,4751143.0
2021-05-10,3829948.0
2021-05-11,3780066.0
2021-05-12,3919877.0
2021-05-13,3851257.0
2021-05-14,3891429.0
